state,"number_of_participating_agencies","population_covered","total_offenses","assault_offenses","homicide_offenses","human_trafficking_offenses","kidnapping_or_abduction","sex_offenses"
Total,11794,215058917,2939412,2706772,16537,2141,36919,177043
Alabama,356,3734077,70855,68366,381,18,388,1702
Alaska,30,402557,6858,5945,31,2,29,851
Arizona,79,3949562,45372,40946,235,7,706,3478
Arkansas,285,2916168,66379,62317,339,6,658,3059
California,15,2861998,32707,29983,126,0,576,2022
Colorado,235,5766585,70645,60730,434,63,2528,6890
Connecticut,107,3605597,31205,28878,164,13,282,1868
Delaware,62,1003384,16740,15724,108,5,198,705
District of Columbia,2,670050,10204,9761,109,0,29,305
Georgia,447,8709490,123610,113071,794,171,2262,7312
Hawaii,2,1059012,11661,10707,8,5,295,646
Idaho,110,1889225,17815,15311,46,4,220,2234
Illinois,328,7845636,91087,86266,536,7,633,3645
Indiana,190,5229123,67873,60965,495,58,1578,4777
Iowa,205,2927835,32743,30201,96,14,235,2197
Kansas,334,2614220,37482,34002,95,0,1195,2190
Kentucky,426,4505498,48846,44032,426,38,1179,3171
Louisiana,136,3321430,56353,53294,477,8,630,1944
Maine,129,1366119,13310,12209,30,2,25,1044
Maryland,18,2902491,27379,25455,153,4,61,1706
Massachusetts,376,6937375,72253,67351,153,41,582,4126
Michigan,618,9785364,161963,148483,870,42,922,11646
Minnesota,411,5699338,50619,44593,276,105,640,5005
Mississippi,137,1673199,23436,22153,173,3,105,1002
Missouri,477,5885677,84290,77897,641,43,966,4743
Montana,106,1098323,15993,13975,39,2,297,1680
Nebraska,267,1471365,17001,15158,47,19,162,1615
Nevada,56,3130107,67066,61689,245,218,898,4016
New Hampshire,208,1355329,14803,12764,23,9,217,1790
New Jersey,177,3844336,17728,16532,140,2,85,969
New Mexico,42,1285483,28139,25449,193,12,822,1663
New York,124,3719239,36803,34355,125,4,569,1750
North Carolina,387,9859219,143884,134322,1020,60,1814,6668
North Dakota,112,774948,13075,11803,28,7,116,1121
Ohio,596,10536226,154750,144022,842,28,1922,7936
Oklahoma,452,3965482,62154,56383,346,27,732,4666
Oregon,208,4093590,40502,36127,242,38,493,3602
Pennsylvania,40,2173050,31764,29675,548,16,68,1457
Rhode Island,47,1094546,9192,8268,40,5,56,823
South Carolina,411,5112587,93278,87692,605,26,1032,3923
South Dakota,110,824054,13290,11942,46,8,139,1155
Tennessee,437,6968993,146650,137869,761,108,2144,5768
Texas,1007,28865719,465503,435319,2370,549,3102,24163
Utah,126,3188815,37427,31081,98,64,1050,5134
Vermont,88,645570,4045,3589,15,4,76,361
Virginia,411,8640726,102759,94446,666,62,1738,5847
Washington,248,7700987,82643,75137,361,59,1252,5834
West Virginia,247,1575083,14435,12807,107,62,168,1291
Wisconsin,323,5423821,48549,42121,401,80,971,4976
Wyoming,47,450309,5867,5202,33,13,68,551
