state,total_estimate,total_18to24,less_than_high_school_graduate_18to24,high_school_graduate_(includes_equivalency)_18to24,some_college_or_associates_degree_18to24,bachelors_degree_or_higher_18to24,total_greater_than_25,less_than_9th_grade_greater_than_25,"9th_to_12th_grade,_no_diploma__greater_than_25",high_school_graduate_(includes_equivalency)__greater_than_25,"some_college,_no_degree__greater_than_25",associates_degree__greater_than_25,bachelors_degree__greater_than_25,graduate_or_professional_degree__greater_than_25,high_school_graduate_or_higher__greater_than_25,bachelors_degree_or_higher__greater_than_25,total_25to34,high_school_graduate_or_higher_25to34,bachelors_degree_or_higher_25to34,total_35to44,high_school_graduate_or_higher_35to44,bachelors_degree_or_higher_35to44,total_45to64,high_school_graduate_or_higher_45to64,bachelors_degree_or_higher_45to64,total_greater_than_65,high_school_graduate_or_higher__greater_than_65,bachelors_degree_or_higher__greater_than_65
Alabama,Total Estimate,468727,62982,170023,193079,42643,3451208,127052,289415,1079285,705662,303028,572276,374490,3034741,946766,633583,574352,185081,637640,563773,198592,1294176,1135910,347848,885809,760706,215245
Alabama,Male Estimate,232322,35285,92663,86872,17502,1643071,68626,154459,534409,328742,122651,263108,171076,1419986,434184,311801,277449,78956,314651,269697,85739,627386,540085,158918,389233,332755,110571
Alabama,Female Estimate,236405,27697,77360,106207,25141,1808137,58426,134956,544876,376920,180377,309168,203414,1614755,512582,321782,296903,106125,322989,294076,112853,666790,595825,188930,496576,427951,104674
Alaska,Total Estimate,67493,8915,33691,22510,2377,485779,10548,21942,135473,118250,40276,101422,57868,453289,159290,112341,105320,33270,102955,97463,35727,172073,159970,56342,98410,90536,33951
Alaska,Male Estimate,39428,6171,19837,12604,816,250710,6519,12114,78318,63282,20170,42852,27455,232077,70307,59325,54967,12989,52579,49162,13312,89130,81972,27406,49676,45976,16600
Alaska,Female Estimate,28065,2744,13854,9906,1561,235069,4029,9828,57155,54968,20106,58570,30413,221212,88983,53016,50353,20281,50376,48301,22415,82943,77998,28936,48734,44560,17351
Arizona,Total Estimate,681735,100200,244573,265391,71571,4980297,233638,315725,1168057,1180491,467305,985673,629408,4430934,1615081,1000536,911690,327026,915424,812344,317560,1730352,1511462,539548,1333985,1195438,430947
Arizona,Male Estimate,350246,59437,140290,121223,29296,2456360,117501,169669,592123,569509,215981,491148,300429,2169190,791577,516513,463445,151645,468490,408393,147054,852919,737830,262882,618438,559522,229996
Arizona,Female Estimate,331489,40763,104283,144168,42275,2523937,116137,146056,575934,610982,251324,494525,328979,2261744,823504,484023,448245,175381,446934,403951,170506,877433,773632,276666,715547,635916,200951
Arkansas,Total Estimate,284335,32652,113873,110277,27533,2037763,90660,140230,695062,435235,161542,324137,190897,1806873,515034,384776,353400,104153,383984,343109,112379,743850,655373,176471,525153,454991,122031
Arkansas,Male Estimate,148100,21152,63617,51426,11905,982403,51206,73687,359410,201701,62203,149595,84601,857510,234196,191974,174233,46062,191529,167038,48539,363627,314643,80638,235273,201596,58957
Arkansas,Female Estimate,136235,11500,50256,58851,15628,1055360,39454,66543,335652,233534,99339,174542,106296,949363,280838,192802,179167,58091,192455,176071,63840,380223,340730,95833,289880,253395,63074
California,Total Estimate,3558188,339462,1215035,1568917,434774,26909869,2380657,1804222,5578997,5287901,2120275,5958030,3779787,22724990,9737817,5827869,5329062,2320502,5414686,4620304,2149393,9702788,7888593,3293719,5964526,4887031,1974203
California,Male Estimate,1822539,203496,680498,756990,181555,13303916,1164058,972615,2908531,2594983,944971,2869357,1849401,11167243,4718758,2995842,2693053,1076336,2773131,2336964,1018033,4842884,3898650,1614596,2692059,2238576,1009793
California,Female Estimate,1735649,135966,534537,811927,253219,13605953,1216599,831607,2670466,2692918,1175304,3088673,1930386,11557747,5019059,2832027,2636009,1244166,2641555,2283340,1131360,4859904,3989943,1679123,3272467,2648455,964410
Colorado,Total Estimate,525940,64754,184891,202204,74091,4044182,135031,170943,814373,793438,334157,1107309,688931,3738208,1796240,901297,850186,427757,850293,777691,400071,1412425,1294342,617064,880167,815989,351348
Colorado,Male Estimate,272327,37431,102938,100196,31762,2034172,71353,98554,437031,402589,152378,539528,332739,1864265,872267,471692,438914,200722,441701,396620,185981,711623,647410,301643,409156,381321,183921
