state,total_estimate,total_white,high_school_graduate_or_higher_white,bachelors_degree_or_higher_white,"total_white_alone_not_hispanic_or_latino","high_school_graduate_or_higher_white_alone_not_hispanic_or_latino","bachelors_degree_or_higher_white_alone_not_hispanic_or_latino",total_black_alone,high_school_graduate_or_higher_black_alone,bachelors_degree_or_higher_black_alone,total_american_indian_or_alaska_native_alone,high_school_graduate_or_higher_american_indian_or_alaska_native_alone,bachelors_degree_or_higher_american_indian_or_alaska_native_alone,total_asian_alone,high_school_graduate_or_higher_asian_alone,bachelors_degree_or_higher_asian_alone,total_native_hawaiian_and_other_pacific_islander_alone,high_school_graduate_or_higher_native_hawaiian_and_other_pacific_islander_alone,bachelors_degree_or_higher_native_hawaiian_and_other_pacific_islander_alone,total_some_other_race_alone,high_school_graduate_or_higher_some_other_race_alone,bachelors_degree_or_higher_some_other_race_alone,total_two_or_more_races,high_school_graduate_or_higher_two_or_more_races,bachelors_degree_or_higher_two_or_more_races,total_hispanic_or_latino_origin,high_school_graduate_or_higher_hispanic_or_latino_origin,bachelors_degree_or_higher_hispanic_or_latino_origin
Alabama,Total Estimate,2353878,2115460,712934,2332798,2100060,708372,846228,719012,158611,15329,12051,2995,49205,42522,29746,N,N,N,52425,32330,7965,132934,112190,34321,113536,76598,22182
Alabama,Male Estimate,1138403,1008457,345987,1127767,1001148,343938,377410,311645,53878,6663,5224,1275,22164,19273,13687,N,N,N,28375,18139,4500,69575,56800,14663,59774,39000,9912
Alabama,Female Estimate,1215475,1107003,366947,1205031,1098912,364434,468818,407367,104733,8666,6827,1720,27041,23249,16059,N,N,N,24050,14191,3465,63359,55390,19658,53762,37598,12270
Alaska,Total Estimate,314524,302619,121059,308121,296692,120167,14708,14092,4549,58526,49941,5138,32328,28154,9719,5537,5101,912,12429,10316,2355,47727,43066,15558,28495,25134,6197
Alaska,Male Estimate,166046,158910,56132,163817,156871,55978,7822,7504,1845,29301,24426,1169,13602,12040,3535,2353,2158,141,7162,5366,1070,24424,21673,6415,14316,12123,2679
Alaska,Female Estimate,148478,143709,64927,144304,139821,64189,6886,6588,2704,29225,25515,3969,18726,16114,6184,3184,2943,771,5267,4950,1285,23303,21393,9143,14179,13011,3518
Arizona,Total Estimate,3171578,2985734,1191246,2928504,2790314,1145461,208771,194235,62985,178658,145795,19829,178083,162575,103845,7909,7181,2060,420052,306159,64452,815246,629255,170664,1334427,988689,220323
Arizona,Male Estimate,1563187,1461903,592241,1440937,1365453,570249,108640,99918,30951,83872,67602,6701,81928,77426,52321,3642,3106,1261,209632,147503,28033,405459,311732,80069,666283,485997,100638
Arizona,Female Estimate,1608391,1523831,599005,1487567,1424861,575212,100131,94317,32034,94786,78193,13128,96155,85149,51524,4267,4075,799,210420,158656,36419,409787,317523,90595,668144,502692,119685
Arkansas,Total Estimate,1502180,1369911,411447,1481204,1354998,408384,276968,241519,52928,11466,8410,2862,30422,25959,13884,6230,3538,32,48945,28059,5469,161552,129477,28412,122921,75184,15559
